zip,total,overall_total,percent_total
21130,10,20328513.18,4.919198916051764e-7
21131,30505.57,20328513.18,0.001500629668775412
21132,5315.54,20328513.18,2.6148198606229793e-4
21133,22103.65,20328513.18,0.0010873225112078759
21134,26,20328513.18,1.2789917181734588e-6
21135,20,20328513.18,9.838397832103528e-7
21136,52960.24,20328513.18,0.0026052195520184125
21139,2115.97,20328513.18,1.040887733039805e-4
21140,4726.27,20328513.18,2.3249462260967974e-4
21141,110,20328513.18,5.411118807656941e-6
21143,25,20328513.18,1.229799729012941e-6
21144,35828.15,20328513.18,0.0017624579664414003
21145,3772.63,20328513.18,1.8558317406664368e-4
21146,70244.53,20328513.18,0.003455468158345656
21147,84,20328513.18,4.132127089483482e-6
21150,209,20328513.18,1.0281125734548187e-5
21152,11330.96,20328513.18,5.57392461498259e-4
21153,9738.41,20328513.18,4.790517591606766e-4
21154,2182.7,20328513.18,1.0737135474066185e-4
21155,3240.2,20328513.18,1.5939188327790925e-4
21156,140,20328513.18,6.88687848247247e-6
21157,32402.09,20328513.18,0.001593923260058117
21158,22464.46,20328513.18,0.001105071472816882
2116,110,20328513.18,5.411118807656941e-6
21160,1060.9,20328513.18,5.218778130039317e-5
21161,6702.56,20328513.18,3.2971225886771916e-4
21162,1595.2,20328513.18,7.847106110885775e-5
21163,30176.28,20328513.18,0.0014844312386647453
21167,3,20328513.18,1.4757596748155293e-7
21174,117,20328513.18,5.755462731780564e-6
21200,130,20328513.18,6.394958590867294e-6
21201,82719.03,20328513.18,0.004069113627128533
21202,45354.85,20328513.18,0.0022310952895769035
21203,411.5,20328513.18,2.024250353955301e-5
21204,117834.82,20328513.18,0.005796529188171548
21205,2978.94,20328513.18,1.4653998418983242e-4
21206,16673.48,20328513.18,8.202016474281077e-4
21207,34070.12,20328513.18,0.0016759769737375355
21208,137641.51,20328513.18,0.006770859667957281
21209,130606.97,20328513.18,0.006424816652528053
21210,260565.02,20328513.18,0.012817711639450061
21211,74976.25,20328513.18,0.0036882308772962606
21212,242068.99,20328513.18,0.011907855132177453
21213,16141.18,20328513.18,7.940167515979641e-4
21214,32376.71,20328513.18,0.001592674767373223
21215,29343.13,20328513.18,0.0014434469328956602
21216,9890.39,20328513.18,4.8652795767329207e-4
21217,58129.64,20328513.18,0.0028595126207847927
21218,233353.34,20328513.18,0.011479114971850588
21219,3516.2,20328513.18,1.7296887228621213e-4
21220,9782.31,20328513.18,4.812112874848233e-4
21221,6303.52,20328513.18,3.1008268751310617e-4
21222,11690.12,20328513.18,5.750602563251505e-4
21223,3205.8,20328513.18,1.5769967885078746e-4
21224,56778.43,20328513.18,0.0027930439131112097
